Job Title,Salary Estimate,Job Description,Rating,Pros,Cons,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Principal Data Scientist,Employer Provided Salary:$125K - $160K,"As Principal Data Scientist you will have a leadership role within our data science team.
With the expertise to deliver the ecosystem analytics roadmap across all divisions, you will work closely with the division stakeholders and head of data science in managing and delivering projects.
Apart from mentoring and coaching teams, you will strategize the potential to create unique benefits for customers and provide a sustainable competitive advantage.
Working with global/regional teams to identify and implement efficient delivery of the brand vision you will articulate the strategic opportunities of a customer-centric analytics-driven strategy.
A fast learner, you will identify the business needs/challenges and identify actionable solutions that lead to valuable outcomes for the business.

Find out more about what Mars can offer you by visiting our Global Careers site.
Data Analysis, Python, Project Management, Stakeholder ManagementData Analysis, Python, Project Management, Stakeholder Management",4.2,"Pros
""Great people to work with, fairly good benefits"" (in 17 reviews)
""great people to work with"" (in 19 reviews)
""Great culture and place to work"" (in 17 reviews)
""the work life balance is great"" (in 14 reviews)
""Direct manager is excellent."" (in 10 reviews)","Cons
""Obviously no benefits because of the nature of the contract position."" (in 17 reviews)
""Work life balance can be challenging, expectations sometimes unrealistic."" (in 14 reviews)
""the manager doesn't want to spend time on training, expect you have hands"" (in 10 reviews)",,"Tennessee City, TN",10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Healthcare Data Scientist,Employer Provided Salary:$30 - $70 Per Hour,"ACM Analytics is seeking a Data Scientist to support our data analytics work. ACM Analytics is a certified woman- and minority-owned small business providing a wide array of data analytic services to commercial clients and government agencies. Our cross-industry experience allows us to provide innovative methodologies and result-based solutions that are both efficient and adaptable. You will be part of a small collaborative team passionate about their work.
Qualifications
· MS in Data Science, Computer Science, Engineering, Health Services, Statistics, or Mathematics.
· 3 + years of programming experience with Python, R. Experience with AWS platform and Microsoft SQL is a plus.
· 5+ years’ experience extracting meaning from and interpreting data using tools and methods from statistics and machine learning.",-1,-1,-1,"ACM Analytics, LLC",Remote,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"MILLENNIUM TRUST COMPANY is a rapidly-growing, leading financial services company offering specialized retirement and institutional services. Whether clients are managing corporate retirement assets, running a business or wanting choice beyond traditional asset options, we provide flexible and digital solutions to support our clients’ success. Ultimately, we aim to educate and increase access to investments to help our clients on their journey to retirement readiness, but do not provide investment advice.
Millennium Trust has experienced year-to-year double digit growth and prides itself on its strong, progressive culture. We have been recognized for our tremendous growth on lists, such as Crain’s Fast 50 and Inc. 5000, and have also been recognized for our positive workplace culture on the 2019 Best Places to Work in Illinois list, as well as the 2019 Model Workplace Award and 2018 Champion for Young Professionals Award from the Greater Oak Brook Chamber of Commerce. Millennium Trust employees live out the values of Do Right, Excel, Collaborate, Innovate and Celebrate and deliver the brand promise of going “Above and Beyond,” so each client experiences the highest level of service.
We are always looking to expand our growing team with dynamic and enthusiastic individuals. If you enjoy a collaborative, fun environment that encourages career development, Millennium Trust is the place for you!

You will be part of a team building best in class statistical models to deliver new business insights, developing, testing and validating unsupervised modeling techniques and creating and developing long term tools to continually evolve business capabilities.",3.7,"Pros
No Pros have been reported by the Glassdoor community.","Cons
""Benefits were extremely high but they are looking to change in upcoming enrollment"" (in 1 reviews)","Millennium Trust Company
3.7",Remote,201 to 500 Employees,2000,Company - Private,Investment & Asset Management,Financial Services,$100 to $500 million (USD)
"AI/ML - Annotation Analyst, Arabic Language",-1,"Summary
Posted: Jun 21, 2022
Role Number:200394318
Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. The people here at Apple don’t just craft products - they build the kind of wonder thatʼs revolutionized entire industries. It’s the diversity of those people and their ideas that inspires the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple, and help us leave the world better than we found it. Are you interested in being part of a team that continues to innovate the way people and machines interact? The launch of Siri was a defining moment in the history of Artificial Intelligence. Siri offers a faster, easier way to get things done on your Apple devices, even before you ask. Millions of people now use Siri to send messages, play their favorite song or even take a selfie. The AI/ML team is passionate about technology with a focus on enriching the customer experience. We are looking for a motivated Annotation Analyst that demonstrates active listening, integrity, acute attention to detail, and is passionate about impacting our customer's experience. Bring passion and dedication to your job and there's no telling what you could accomplish. This position will be based at our corporate campus in Austin, TX.",4.2,"Pros
""work life balance is good"" (in 377 reviews)
""Good benefits and TC as APPL is increasing and lots of new interesting projects"" (in 267 reviews)
""it was manageable and the pay was good"" (in 434 reviews)
""Great people to work for and with"" (in 390 reviews)
""Great WLB and culture to work with"" (in 322 reviews)","Cons
""no work life balance is maintaned"" (in 377 reviews)
""Not much responsibility and no benefit"" (in 267 reviews)
""The pay is low especially when living in San Diego where rent and housing cost is super inflated."" (in 434 reviews)
""People are basically slaves of the products."" (in 390 reviews)
""bad atmosphere and culture of toxicity"" (in 322 reviews)","Apple
4.2","Austin, TX",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$40 - $65 Per Hour,"Must have:
* Able to manipulate files
* Some one with database exposure
* Spotfire experience
* Experience in regulated space, pharma industry preferred
* Validating an IT application
* Application writing experience
Minimum Requirement: * Bachelor Degree in Computer Science, Engineering, Automated Sciences 4-8 years relevant experience. Required Experience and Skills: * Able to integrate software applications * Data / File manipulation * Microsoft programming languages (VB, C#, LabVIEW or equivalent) Preferred Experience and Skills: * Experience with Oracle, MS SQL * Experience with big data visualization packages (Spotfire) * Statistical Programming * Use of electronic laboratory notebooks * Experience with GLP * LabVIEW Personality: * Team player * Communicative Red Flags to avoid during screening candidates for this role: * Someone who is looking to enter the industry just for paycheck * Not willing to learn or speak * Do not love or like doing coding * Jumpy history of work *NOTE*: This is onsite role for 1year with possibility of extension.",4.5,"Pros
No Pros have been reported by the Glassdoor community.","Cons
""No health benefits are offered"" (in 1 reviews)","AAmazing IT
4.5","West Point, PA",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Scientist - Mid Level,Employer Provided Salary:$202K,"We look forward to you bringing your talent to add to our team supporting a robust, world-wide national intelligence program providing mission application design, development, engineering and integration services in support of the U.S. Intelligence Community. Peraton, a recognized leader in Cyber, Digital Transformation, Cloud, Operations and Engineering, is seeking skilled Data Scientists to join our team of professionals delivering technology services and capabilities in defense of the nation. You would be joining a team of professionals with over 10 years of outstanding support developing and sustaining mission critical and mission essential applications to prevent strategic surprise and deliver a decision advantage to warfighters, defense planners, and policy makers. We take pride that our users include warfighters and interagency partners that defend America’s national security interests. We are committed to investing in you and your family through paid benefits, competitive total compensation, challenging opportunities and career growth opportunities. If you are ready to be challenged, advance your career, passionate about making a difference, and are excited to support our country’s defense and intelligence missions, we are ready to talk to you!",3.6,"Pros
""Primarily work from home."" (in 33 reviews)
""Benefits are good and affordable"" (in 21 reviews)
""The pay was decent."" (in 27 reviews)
""It had flexible hours and good management"" (in 19 reviews)
""Training was fun and easy ."" (in 15 reviews)","Cons
""great benefits and opportunities for advancement"" (in 21 reviews)
""Low Pay."" (in 27 reviews)
""management promises big but has never (at least in my 4 years) upheld their end"" (in 19 reviews)
""Mandatory training but that is typical with these types of company's"" (in 15 reviews)","Peraton
3.6","Herndon, VA",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
Data Scientist,Employer Provided Salary:$100K - $150K,"Data Scientist (REMOTE)
Pharmaceutical client
Start date: September
Full-time, permanent position
$100,000 - $150,000 DOE
I’m working with one of the biggest names in the pharmaceutical industry and they are currently looking to build out their data science team by hiring 3 candidates to join their team on a remote basis! They already have existing practices in place, but they are growing extensively at the moment, so they are on the lookout for some experienced data scientists to improve their existing talented team.",-1,-1,-1,ACE Partners,Remote,Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
"Analyst I, Data Science-Global Strategic Analytics",Employer Provided Salary:$102K - $143K,"This is a range posting. The actual internal level/grade and compensation for this role will depend on the candidate's geographic location, overall experience, and skill level.
Job Summary:
Join a high-energy data science and business experts in Liberty Mutual Global Risk Solutions (GRS) Advanced Analytics Hub as we drive business value and innovation through analytics. Using enterprise-caliber data science tools, you will work on projects/initiatives for the design, development, and delivery of advanced analytics solutions and predictive models that enable the business to make data-based decisions. As part of the Global Strategic Analytics team you will research, prototype, architect, and deploy complex analytics to create high-impact business value. In additional to collaboration with other team members, you will have high-profile engagement across the enterprise including Underwriting, Pricing, Tech and other functions.
The Analyst I, Data Science gains experience in collaborating with business partners to develop predictive analytic solutions that enable data driven strategic decision making. This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to predict the likelihood of a future outcome and/or to optimize business solutions.







16",3.9,"Pros
""Flexibility and good work life balance"" (in 42 reviews)
""Great people"" (in 28 reviews)
""Good people, decent culture, extremely chill environment if you'd like it to be"" (in 24 reviews)
""good benefits"" (in 19 reviews)
""Good Salary"" (in 20 reviews)","Cons
""Not much if you like great work life balance"" (in 42 reviews)
""Slow Political cronyism cafeteria bad culture"" (in 24 reviews)
""salary is bit low compared to others"" (in 20 reviews)",,Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Senior Data Scientist,-1,"About the team
Zillow Group is currently seeking a Senior Data Scientist to join the ZG data science org. We’re passionate about understanding the customer journey on our platforms through deep analysis and measurement. We relentlessly advocate for a seamless and delightful home shopping experience from dream to reality! The team works closely with the product & marketing organizations to discover strategic opportunities in areas spanning the search and discovery process, membership and re-engagement, evaluation and curation of potential homes, and personalization for both the Zillow and Trulia brands. Finally, we scale this work by partnering with engineering teams to build and maintain key analytics tools and infrastructure.
About the role
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location. Actual amounts will vary depending on experience, performance and location.",3.9,"Pros
""The majority of the individuals that you work with are great people, inside and out of work."" (in 15 reviews)
""Leadership is focused on investment in the right areas"" (in 10 reviews)
""So many great benefits."" (in 8 reviews)
""Good work/life balance if you advocate for your needs"" (in 12 reviews)
""Competitive Salary"" (in 11 reviews)","Cons
""Leadership swirling after sketchy Zillow Offers decision making, little to no accountability or honesty leading to spiraling morale."" (in 10 reviews)
""Salaries are low even though everyone is doing the same job."" (in 11 reviews)",,Remote,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD)
Data and Policy Analyst - Statistical Programmer,$57K - $80K (Glassdoor est.),"At Acumen, LLC / The SPHERE Institute, Data and Policy Analysts provide analytical support for research and consulting projects for government and private clients, primarily in the area of health policy. This position is responsible for managing and analyzing data, researching and interpreting policy, and communicating findings to multiple audiences.

Data and Policy Analysts perform a wide array of functions as part of the research process. Those applicants interested in focusing on statistical programming help create and report descriptive statistic, conduct econometric and statistical analyses of data using statistical software such as SAS and STATA, interpret study specifications, research findings, and quantitative analyses for relevant audiences, develop research files from large confidential datasets, and perform other duties as assigned.

As we review your materials, we are looking for candidates who best exemplify the following qualifications:",3.6,"Pros
""amazing salary for the first couple years, and you're ok with working a bit more than 40 hours a week sometimes, then Acumen may be a great fit for you."" (in 29 reviews)
""1. good manager"" (in 14 reviews)
""Nice people and generous on H1B applications"" (in 27 reviews)
""good work life balance which is good"" (in 22 reviews)
""Good benefits"" (in 12 reviews)","Cons
""Starting salary is low."" (in 29 reviews)
""Your life quality hinges upon the quality of your supervisor; not everyone gets assigned good managers;"" (in 14 reviews)
""ish people in their 20s and 30s who are nice, have lots of fresh &amp; fun interests, and are happy to hang out.)"" (in 27 reviews)
""Bad work life balance."" (in 22 reviews)
""benefits are not competitive"" (in 12 reviews)",,"Los Angeles, CA",501 to 1000 Employees,1996,Company - Private,National Agencies,Government & Public Administration,$10 to $25 million (USD)
Data Scientist/Sr. Data Scientist,-1,"Job Summary
Employs scientific methods and data-discovery tools to find new patterns, insights and relationships in big data; extracts meaningful information from multiple large data sets; develops solutions that quickly and visually communicate results; acts as a subject matter expert in data structure and storage; collaborates closely with IT departments.
Essential Functions
Performs both qualitative analysis (e.g., content analysis, phenomenology, hypothesis testing) and quantitative analysis (e.g., clustering regression, pattern recognition, descriptive and inferential statistics) on large data sets to understand trends and relationships between variables to gain predictive insights.",3.4,"Pros
""Good pay and a great team work enviorment."" (in 9 reviews)
""Very friendly colleagues and relaxed atomosphere conducive to learning"" (in 3 reviews)
""Lots of employee benefits, perks."" (in 2 reviews)
""Excellent culture"" (in 2 reviews)","Cons
""Low pay"" (in 9 reviews)
""Work life balance during peak season is horrible"" (in 1 reviews)","FedEx Ground
3.4",Remote,10000+ Employees,2000,Subsidiary or Business Segment,Taxi & Car Services,Transportation & Logistics,$10+ billion (USD)
Data Scientist,-1,"Company Description
Robert Bosch is a world-class engineering and manufacturing company. Our products impact hundreds of millions of people every day, many in safety critical systems. Artificial intelligence is impacting Bosch’s products and services in many domains, including: manufacturing, autonomous driving, predictive maintenance, vehicle diagnostics and supply chain & logistics. The Bosch Center for Artificial Intelligence provides AI technologies to Bosch’s business units and plants. We are a global team of data scientists, engineers and research scientists focused on applying state-of-the-art AI models to improve all aspects of Bosch’s products and operations.
Job Description
This is a technical position for someone who is skilled at bringing together disparate technologies to solve business problems.",3.9,"Pros
""Good salary"" (in 5 reviews)
""good working environment, many very smart people"" (in 8 reviews)
""Working at a large company gives you many professional opportunities."" (in 3 reviews)
""Also very sociable, funny team to work"" (in 4 reviews)
""life balance is really good here."" (in 4 reviews)","Cons
""hourly salary is a bit low compared with internet companies like google or facebook."" (in 5 reviews)
""Not too many opportunities to continue the researches inside the company"" (in 3 reviews)",,"Sunnyvale, CA",10000+ Employees,1886,Company - Private,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist / Jr. Data Scientist,Employer Provided Salary:$150K - $170K,"About the role and team
Arrivalist is looking for talented people that share our passion for working with extremely large geospatial datasets! Geospatial data is the backbone of Arrivalist, where the Data Science Team is responsible for the integrity and quality of that data. The team owns the data end-to-end, where our responsibility is to define solutions that will empower our company and clients with data they can trust. As part of our Data Science Team, you will focus on computational and algorithmic problems, ranging from analyzing travel patterns in GPS location data (trillions of location events!), detecting fraudulent data, to writing attribution models to evaluate the effect of advertising and other factors on travel. As a part of our team, you will be an integral partner developing Arrivalist’s products, your work will have a major impact on our clients’ success.
About the company",-1,-1,-1,Arrivalist,Remote,-1,-1,-1,-1,-1,-1
